location,date,status,tmp,wind
서울,201804171700,맑음,18.3,4.3
백령도,201804171700,맑음,11.6,4.7
인천,201804171700,맑음,15.7,4.1
수원,201804171700,맑음,17.8,3.5
동두천,201804171700, ,19.2,4.6
파주,201804171700, ,17.2,3.1
강화,201804171700, ,14.0,5.0
양평,201804171700, ,20.1,2.8
이천,201804171700, ,18.8,3.6
북춘천,201804171700,맑음,20.6,4.3
북강릉,201804171700,구름조금,16.7,3.6
울릉도,201804171700,구름많음,13.6,1.0
속초,201804171700, ,15.3,4.8
철원,201804171700, ,19.5,2.4
대관령,201804171700, ,14.4,5.0
춘천,201804171700, ,20.8,2.7
강릉,201804171700, ,18.3,3.9
동해,201804171700, ,13.4,4.4
원주,201804171700, ,19.3,2.2
영월,201804171700, ,18.8,0.9
인제,201804171700, ,19.2,2.2
홍천,201804171700, ,20.4,1.8
태백,201804171700, ,16.0,1.6
정선군,201804171700, ,17.6,1.8
서산,201804171700, ,16.7,3.9
청주,201804171700,맑음,19.7,1.2
대전,201804171700,맑음,20.0,2.8
충주,201804171700, ,19.1,2.1
추풍령,201804171700, ,19.4,1.5
홍성,201804171700,맑음,16.8,3.9
제천,201804171700, ,19.1,2.2
보은,201804171700, ,19.5,3.0
천안,201804171700, ,18.8,2.4
보령,201804171700, ,14.9,1.0
부여,201804171700, ,18.7,2.9
금산,201804171700, ,19.0,2.2
전주,201804171700,맑음,16.8,3.3
광주,201804171700,맑음,18.8,1.6
목포,201804171700,맑음,15.3,6.1
여수,201804171700,맑음,17.3,3.6
흑산도,201804171700,맑음,10.5,3.3
군산,201804171700, ,15.1,3.9
완도,201804171700, ,17.4,4.8
고창,201804171700, ,14.7,5.7
순천,201804171700, ,17.6,2.9
진도(첨찰산),201804171700, ,14.9,4.7
부안,201804171700, ,14.5,4.0
임실,201804171700, ,18.0,2.4
정읍,201804171700, ,16.4,3.6
남원,201804171700, ,20.5,1.9
장수,201804171700, ,17.4,1.3
고창군,201804171700, ,15.7,3.2
영광군,201804171700, ,15.5,3.3
순창군,201804171700, ,17.8,5.2
보성군,201804171700, ,17.4,2.2
강진군,201804171700, ,17.8,5.2
장흥,201804171700, ,18.3,2.8
해남,201804171700, ,17.4,2.7
고흥,201804171700, ,16.4,2.6
광양시,201804171700, ,18.8,1.5
진도군,201804171700, ,15.9,2.8
제주,201804171700,구름많음,15.8,2.1
고산,201804171700, ,15.4,4.0
성산,201804171700, ,15.3,3.2
서귀포,201804171700, ,15.4,0.7
안동,201804171700,맑음,20.3,1.8
포항,201804171700,맑음,16.7,4.8
대구,201804171700,맑음,20.7,1.2
울산,201804171700,구름조금,15.8,2.2
창원,201804171700,맑음,15.2,3.5
부산,201804171700,맑음,15.5,2.9
울진,201804171700, ,14.2,2.0
상주,201804171700, ,21.2,1.3
통영,201804171700, ,17.0,4.3
진주,201804171700, ,19.0,2.1
김해시,201804171700, ,16.7,4.1
북창원,201804171700, ,18.8,1.1
양산시,201804171700, ,18.8,2.7
의령군,201804171700, ,20.2,1.3
함양군,201804171700, ,20.9,3.3
봉화,201804171700, ,18.9,1.9
영주,201804171700, ,18.6,1.3
문경,201804171700, ,19.7,2.6
청송군,201804171700, ,17.6,4.3
영덕,201804171700, ,14.7,3.5
의성,201804171700, ,21.6,2.8
구미,201804171700, ,20.5,2.0
영천,201804171700, ,21.1,1.6
경주시,201804171700, ,17.0,5.5
거창,201804171700, ,19.6,0.3
합천,201804171700, ,21.3,1.4
밀양,201804171700, ,19.7,4.4
산청,201804171700, ,19.2,1.9
거제,201804171700, ,17.5,3.6
남해,201804171700, ,17.7,3.0
